,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative,costs
33,34,num_word_similarity,12,12,nearest_neighbors,sentence-based,n50_de_rma,"[ 1  2  1 10 10  3  6 10 11 10  5 10  5  1  8  6  6 10 10 10  0  0  0  5  4
  7  5  4  5  4  4  4 11  9  9  3  9  7  1  7  2  4 10  3  5  8  2  7 10  5]",282.0,62.0,3.0,74.0,208.0,"(407.63571428571441, 90.23999999999991)"
34,35,num_word_similarity,12,10,precomputed,word-based,n50_de_rma,"[6, 1, 0, 9, 0, 1, 4, 0, 0, 0, 2, 5, 8, 5, 0, 2, 3, 0, 0, 0, 0, 1, 1, 2, 6, 4, 0, 0, 3, 2, 3, 0, 0, 10, 0, 0, 0, 8, 0, 1, 8, 8, 0, 8, 5, 6, 0, 1, 0, 0]",610.0,60.0,3.0,76.0,534.0,"(93.06113958468201, 26.398340058840095)"
35,36,num_word_similarity,12,12,precomputed,sentence-based,n50_de_rma,"[ 9  7  0  9  0  5 11  0  3  9  8  9 11  7  1  9  9  9  9  9  6  6  6  0  4
  4 11  4  8 10  3  7  3  2  2  9  2  1  9  7 11  4  0  3  8  1  1  4  9 11]",324.0,54.0,4.0,82.0,242.0,"(497.81666666666672, 93.919999999999931)"
36,37,num_word_similarity,12,6,rbf,word-based,n50_de_rma,"[1, 3, 0, 3, 0, 1, 3, 0, 1, 3, 4, 3, 3, 4, 3, 1, 2, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 0, 3, 10, 1, 0, 1, 3, 1, 3, 1, 1, 3]",1006.0,86.0,4.0,50.0,956.0,"(83.929315229641148, 24.240799281816269)"
37,38,num_word_similarity,12,12,rbf,sentence-based,n50_de_rma,"[ 0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  8  0  0  0  3  0
  9  0  4  9  5  9 11  0  9  1 10  6  0  0  3  0  0  0  2  0  0  0  7  8  0]",1116.0,72.0,1.0,64.0,1052.0,"(528.94696969696702, 80.920000000000002)"
38,39,num_word_similarity,12,7,sigmoid,word-based,n50_de_rma,"[5, 4, 0, 6, 1, 4, 5, 5, 4, 1, 4, 0, 11, 4, 4, 3, 3, 6, 0, 6, 1, 1, 4, 5, 5, 11, 6, 5, 6, 4, 5, 5, 4, 6, 5, 6, 6, 5, 5, 5, 5, 5, 4, 5, 5, 5, 1, 4, 4, 4]",556.0,72.0,5.0,64.0,492.0,"(65.784330998736436, 24.901318308277364)"
39,40,num_word_similarity,12,12,sigmoid,sentence-based,n50_de_rma,"[ 1  1  4 10  4 10  1  1  1  7  1  9  1  1  1  1  1 10 10  4  1  1  1  3  6
 11  4  2  1  0  5  8  1 10  1 10  1  4  1  4  1 10  4 10  1  1  1  1 10  1]",768.0,66.0,1.0,70.0,698.0,"(455.27873015873143, 79.160000000000025)"
40,41,num_word_similarity,12,8,polynomial,word-based,n50_de_rma,"[3, 3, 3, 3, 7, 3, 0, 7, 3, 3, 3, 3, 3, 3, 3, 0, 8, 0, 0, 0, 7, 9, 3, 3, 2, 3, 3, 3, 3, 3, 3, 0, 5, 3, 3, 0, 3, 3, 7, 3, 9, 5, 1, 9, 3, 5, 3, 3, 0, 3]",930.0,74.0,3.0,62.0,868.0,"(86.698681569238019, 26.170746856694834)"
41,42,num_word_similarity,12,12,polynomial,sentence-based,n50_de_rma,"[ 3  9  3  3  3  5  3  3  3  3 10  3  3  3  3  3  3  3  3  3  3  3  3  5  5
  0  3  5 10  1  4  4  3 11  6  0  2  7  3  8  3  0  3  9  3  9  9  0  3  3]",866.0,58.0,1.5,78.0,788.0,"(567.35714285714369, 91.679999999999907)"
42,43,num_word_similarity,12,7,poly,word-based,n50_de_rma,"[0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 6, 2, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 0, 11, 11, 0, 0, 7, 0, 2, 2, 3, 7, 0, 2, 0, 0, 1, 0]",1008.0,82.0,3.0,54.0,954.0,"(86.080439746180886, 26.176762149181293)"
43,44,num_word_similarity,12,12,poly,sentence-based,n50_de_rma,"[ 1  1  1  1  1  8  1  1  1  1  5  1  1  1  1  1  1  1  1  1  1  1  1  8  8
 11  1  8  5  2  0  0  1  3  6  1  5 10  1  4  1  9  1  7  1  1  1  9  1  1]",1080.0,60.0,1.0,76.0,1004.0,"(565.15625, 87.119999999999962)"
